Phrase,Réponse,Temps,Cotation
"Lorsqu'elle a appris la mauvaise nouvelle, elle a versé des",larmes,2.55,3
Les deux mariés sont partis en voyage de,noce,7.57,3
Il a posté la lettre sans y mettre un,nez,9.56,1
"Pour se protéger de la pluie, il a ouvert son",mouchoir,5.31,0
Le bébé pleure pour appeler sa,nounou,6.29,1
Le menuisier a cloué un clou avec un,ventre,3.89,0
"Pour améliorer sa vision, il porte des",bouteilles,4.35,0
"Après sa journée de travail, il est rentré à la",cuisine,7.61,1
"Il était tellement bizarre, on aurait dit qu'il venait d'une autre",casque,7.90,0
Il est bon de manger trois fois par,an,3.38,1
Le chat court après la,poussiere,3.24,0
"Avant d'aller au lit, on éteint la",musique,5.57,1
Il y a beaucoup de livres dans la,poubelle,6.59,0
On dépose notre argent à la,poubelle,5.97,0
"Pendant le repas, toute la famille est assise autour de la",table,11.22,3
